name	domain	file	model	status	created	source
apuracao-simples-nacional	contabilidade	agents/contabilidade/01-apuracao-simples-nacional.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
icms-iss	contabilidade	agents/contabilidade/02-icms-iss.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
pis-cofins	contabilidade	agents/contabilidade/03-pis-cofins.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
irpj-csll	contabilidade	agents/contabilidade/04-irpj-csll.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
conferencia-guia	contabilidade	agents/contabilidade/05-conferencia-guia.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
sped-fiscal	contabilidade	agents/contabilidade/06-sped-fiscal.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
ecf-ecd	contabilidade	agents/contabilidade/07-ecf-ecd.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
dctfweb	contabilidade	agents/contabilidade/08-dctfweb.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
efd-reinf	contabilidade	agents/contabilidade/09-efd-reinf.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
esocial	contabilidade	agents/contabilidade/10-esocial.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
holerite	contabilidade	agents/contabilidade/11-holerite.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
ferias-13-salario	contabilidade	agents/contabilidade/12-ferias-13-salario.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
rescisao-clt-calculo	contabilidade	agents/contabilidade/13-rescisao-clt-calculo.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
inss-fgts	contabilidade	agents/contabilidade/14-inss-fgts.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
admissao	contabilidade	agents/contabilidade/15-admissao.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
conciliacao-bancaria	contabilidade	agents/contabilidade/16-conciliacao-bancaria.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
cobranca-honorarios	contabilidade	agents/contabilidade/17-cobranca-honorarios.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
dre-gerencial	contabilidade	agents/contabilidade/18-dre-gerencial.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
fluxo-caixa-projetado	contabilidade	agents/contabilidade/19-fluxo-caixa-projetado.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
triagem-whatsapp	contabilidade	agents/contabilidade/20-triagem-whatsapp.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
documentos-pendentes	contabilidade	agents/contabilidade/21-documentos-pendentes.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
onboarding-cliente	contabilidade	agents/contabilidade/22-onboarding-cliente.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
follow-up-cliente	contabilidade	agents/contabilidade/23-follow-up-cliente.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
cadastro-nf	contabilidade	agents/contabilidade/24-cadastro-nf.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
lembrete-prazo	contabilidade	agents/contabilidade/25-lembrete-prazo.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
relatorio-mensal	contabilidade	agents/contabilidade/26-relatorio-mensal.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
backup-escritorio	contabilidade	agents/contabilidade/27-backup-escritorio.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
apuracao-mei	contabilidade	agents/contabilidade/28-apuracao-mei.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
calculo-ipi	contabilidade	agents/contabilidade/29-calculo-ipi.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
calculo-irrf-folha	contabilidade	agents/contabilidade/30-calculo-irrf-folha.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
retencoes-tributarias-tomador	contabilidade	agents/contabilidade/31-retencoes-tributarias-tomador.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
efd-contribuicoes	contabilidade	agents/contabilidade/32-efd-contribuicoes.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
dimob	contabilidade	agents/contabilidade/33-dimob.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
dmed	contabilidade	agents/contabilidade/34-dmed.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
folha-pagamento-mensal	contabilidade	agents/contabilidade/35-folha-pagamento-mensal.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
plano-contas-cpc	contabilidade	agents/contabilidade/36-plano-contas-cpc.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
lancamentos-contabeis-padrao	contabilidade	agents/contabilidade/37-lancamentos-contabeis-padrao.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
conciliacao-cartoes-credenciadora	contabilidade	agents/contabilidade/38-conciliacao-cartoes-credenciadora.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
conciliacao-fornecedores	contabilidade	agents/contabilidade/39-conciliacao-fornecedores.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
conciliacao-clientes	contabilidade	agents/contabilidade/40-conciliacao-clientes.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
fechamento-mensal	contabilidade	agents/contabilidade/41-fechamento-mensal.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
balancete-analise	contabilidade	agents/contabilidade/42-balancete-analise.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
ativo-imobilizado-depreciacao	contabilidade	agents/contabilidade/43-ativo-imobilizado-depreciacao.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
analise-tributaria-regime	contabilidade	agents/contabilidade/44-analise-tributaria-regime.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
recuperacao-creditos-pis-cofins	contabilidade	agents/contabilidade/45-recuperacao-creditos-pis-cofins.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
revisao-fiscal-cruzamento-sped	contabilidade	agents/contabilidade/46-revisao-fiscal-cruzamento-sped.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
malha-fina-pf-diagnostico	contabilidade	agents/contabilidade/47-malha-fina-pf-diagnostico.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
malha-fina-pj-diagnostico	contabilidade	agents/contabilidade/48-malha-fina-pj-diagnostico.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
due-diligence-contabil	contabilidade	agents/contabilidade/49-due-diligence-contabil.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
valuation-pme	contabilidade	agents/contabilidade/50-valuation-pme.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
irpf-declaracao-completa	contabilidade	agents/contabilidade/51-irpf-declaracao-completa.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
abertura-empresa-cnpj	contabilidade	agents/contabilidade/52-abertura-empresa-cnpj.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
alteracao-contratual	contabilidade	agents/contabilidade/53-alteracao-contratual.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
encerramento-empresa-baixa	contabilidade	agents/contabilidade/54-encerramento-empresa-baixa.md	sonnet	candidate	2026-06-11	Downloads (Bravy/ASV Digital)
